x1,x2,x3,t
-9.038175,-10.553074,25.618969,2.680000
-9.187275,-10.651379,25.898492,2.690000
-9.330387,-10.725462,26.193848,2.700000
-9.465675,-10.773280,26.501789,2.710000
-9.591297,-10.793118,26.818665,2.720000
-9.705444,-10.783667,27.140470,2.730000
-9.806377,-10.744098,27.462905,2.740000
-9.892469,-10.674125,27.781469,2.750000
-9.962248,-10.574056,28.091553,2.760000
-10.014444,-10.444816,28.388560,2.770000
-10.048022,-10.287956,28.668020,2.780000
-10.062227,-10.105626,28.925718,2.790000
-10.056604,-9.900537,29.157807,2.800000
-10.031026,-9.675881,29.360915,2.810000
-9.985701,-9.435243,29.532237,2.820000
-9.921171,-9.182493,29.669597,2.830000
-9.838307,-8.921667,29.771493,2.840000
-9.738283,-8.656846,29.837108,2.850000
-9.622545,-8.392038,29.866299,2.860000
-9.492778,-8.131072,29.859560,2.870000
-9.350857,-7.877502,29.817966,2.880000
-9.198799,-7.634537,29.743100,2.890000
-9.038720,-7.404989,29.636971,2.900000
-8.872776,-7.191235,29.501924,2.910000
-8.703127,-6.995212,29.340559,2.920000
-8.531888,-6.818419,29.155642,2.930000
-8.361096,-6.661944,28.950034,2.940000
-8.192680,-6.526490,28.726626,2.950000
-8.028433,-6.412424,28.488283,2.960000
-7.870000,-6.319819,28.237804,2.970000
-7.718863,-6.248505,27.977888,2.980000
-7.576339,-6.198112,27.711115,2.990000
-7.443573,-6.168122,27.439935,3.000000
-7.321549,-6.157902,27.166657,3.010000
-7.211093,-6.166746,26.893457,3.020000
-7.112882,-6.193898,26.622380,3.030000
-7.027455,-6.238584,26.355349,3.040000
-6.955226,-6.300021,26.094176,3.050000
-6.896496,-6.377437,25.840577,3.060000
-6.851465,-6.470071,25.596182,3.070000
-6.820240,-6.577184,25.362545,3.080000
-6.802851,-6.698049,25.141161,3.090000
-6.799255,-6.831951,24.933473,3.100000
-6.809345,-6.978173,24.740879,3.110000
-6.832956,-7.135992,24.564744,3.120000
-6.869870,-7.304657,24.406397,3.130000
-6.919814,-7.483378,24.267139,3.140000
-6.982466,-7.671309,24.148239,3.150000
-7.057448,-7.867525,24.050930,3.160000
-7.144327,-8.071008,23.976404,3.170000
-7.242609,-8.280624,23.925796,3.180000
-7.351731,-8.495107,23.900170,3.190000
-7.471059,-8.713040,23.900502,3.200000
-7.599873,-8.932841,23.927654,3.210000
-7.737367,-9.152752,23.982342,3.220000
-7.882630,-9.370829,24.065107,3.230000
-8.034649,-9.584940,24.176274,3.240000
-8.192292,-9.792776,24.315915,3.250000
-8.354308,-9.991854,24.483801,3.260000
-8.519322,-10.179550,24.679361,3.270000
-8.685833,-10.353128,24.901637,3.280000
-8.852220,-10.509785,25.149248,3.290000
-9.016749,-10.646710,25.420348,3.300000
-9.177585,-10.761153,25.712611,3.310000
-9.332813,-10.850502,26.023212,3.320000
-9.480459,-10.912375,26.348834,3.330000
-9.618529,-10.944705,26.685689,3.340000
-9.745039,-10.945842,27.029566,3.350000
-9.858060,-10.914635,27.375888,3.360000
-9.955767,-10.850514,27.719809,3.370000
-10.036481,-10.753553,28.056314,3.380000
-10.098726,-10.624509,28.380348,3.390000
-10.141273,-10.464846,28.686950,3.400000
-10.163179,-10.276710,28.971390,3.410000
-10.163831,-10.062896,29.229311,3.420000
-10.142966,-9.826771,29.456851,3.430000
-10.100690,-9.572173,29.650755,3.440000
-10.037484,-9.303297,29.808453,3.450000
-9.954194,-9.024556,29.928123,3.460000
-9.852008,-8.740447,30.008705,3.470000
-9.732431,-8.455410,30.049901,3.480000
-9.597237,-8.173707,30.052133,3.490000
-9.448424,-7.899306,30.016484,3.500000
-9.288159,-7.635796,29.944615,3.510000
-9.118726,-7.386322,29.838675,3.520000
-8.942464,-7.153547,29.701195,3.530000
