x1,x2,x3,l1,l2,l3,t
101.112350,47.904099,128.510422,3.581419,-0.593376,-0.593376,0.176000
100.920929,41.460076,126.622558,5.521919,-1.714655,-1.714655,0.177000
100.444915,35.133997,124.115938,7.393069,-2.850759,-2.850759,0.178000
99.687103,29.006582,121.037371,9.189481,-3.995251,-3.995251,0.179000
98.654661,23.151059,117.445224,10.906815,-5.141289,-5.141289,0.180000
97.358973,17.631030,113.407107,12.541838,-6.281851,-6.281851,0.181000
95.815309,12.498875,108.997203,14.092461,-7.409954,-7.409954,0.182000
94.042360,7.794797,104.293434,15.557722,-8.518886,-8.518886,0.183000
92.061654,3.546495,99.374644,16.937744,-9.602400,-9.602400,0.184000
89.896898,-0.230554,94.317980,18.233655,-10.654889,-10.654889,0.185000
87.573280,-3.532291,89.196602,19.447490,-11.671517,-11.671517,0.186000
85.116772,-6.364866,84.077819,20.582064,-12.648306,-12.648306,0.187000
82.553466,-8.743146,79.021720,21.640843,-13.582184,-13.582184,0.188000
79.908975,-10.689059,74.080287,22.627805,-14.470979,-14.470979,0.189000
77.207918,-12.229911,69.296973,23.547301,-15.313393,-15.313393,0.190000
74.473503,-13.396756,64.706700,24.403914,-16.108921,-16.108921,0.191000
71.727202,-14.222908,60.336177,-16.857772,-16.857772,25.202332,0.192000
68.988540,-14.742635,56.204488,-17.560753,-17.560753,25.947224,0.193000
66.274958,-14.990064,52.323845,-18.219155,-18.219155,26.643126,0.194000
63.601772,-14.998311,48.700452,-18.834635,-18.834635,27.294342,0.195000
60.982187,-14.798823,45.335407,-19.409095,-19.409095,27.904855,0.196000
58.427374,-14.420908,42.225593,-19.944580,-19.944580,28.478255,0.197000
55.946582,-13.891444,39.364527,-20.443180,-20.443180,29.017684,0.198000
53.547280,-13.234722,36.743135,-20.906947,-20.906947,29.525796,0.199000
51.235317,-12.472409,34.350444,-21.337837,-21.337837,30.004746,0.200000
49.015088,-11.623587,32.174178,-21.737660,-21.737660,30.456189,0.201000
46.889710,-10.704875,30.201264,-22.108055,-22.108055,30.881313,0.202000
44.861178,-9.730570,28.418248,-22.450478,-22.450478,31.280876,0.203000
42.930531,-8.712839,26.811633,-22.766206,-22.766206,31.655274,0.204000
41.097994,-7.661906,25.368137,-23.056352,-23.056352,32.004606,0.205000
39.363113,-6.586252,24.074893,-23.321883,-23.321883,32.328750,0.206000
37.724878,-5.492811,22.919597,-23.563647,-23.563647,32.627430,0.207000
36.181831,-4.387153,21.890605,-23.782394,-23.782394,32.900285,0.208000
34.732159,-3.273658,20.977001,-23.978797,-23.978797,33.146914,0.209000
33.373778,-2.155674,20.168627,-24.153465,-24.153465,33.366910,0.210000
32.104408,-1.035662,19.456102,-24.306955,-24.306955,33.559886,0.211000
30.921630,0.084678,18.830808,-27.883067,-20.996476,33.725473,0.212000
29.822937,1.204291,18.284881,-35.168503,-13.936229,33.863314,0.213000
28.805785,2.322667,17.811178,-38.899056,-10.391204,33.973049,0.214000
27.867620,3.439756,17.403244,-41.582546,-7.854216,34.054282,0.215000
27.005916,4.555889,17.055279,-43.677594,-5.867113,34.106553,0.216000
26.218192,5.671719,16.762094,-45.377437,-4.236924,34.129296,0.217000
25.502038,6.788159,16.519075,-46.787262,-2.858486,34.121800,0.218000
24.855128,7.906337,16.322142,-47.972724,34.083160,-1.665893,0.219000
24.275229,9.027559,16.167713,-48.978457,34.012228,-0.613937,0.220000
23.760216,10.153267,16.052665,-49.836618,33.907552,0.330492,0.221000
23.337986,11.289449,15.992017,-50.538112,33.745416,1.184419,0.222000
22.945971,12.429729,15.947660,-51.170703,33.566865,1.988463,0.223000
22.613212,13.579404,15.935848,-51.712954,33.347513,2.748176,0.224000
22.338049,14.740229,15.954990,-52.176847,33.083796,3.478850,0.225000
22.118943,15.913992,16.003818,-52.572154,32.771253,4.194512,0.226000
21.954476,17.102502,16.081364,-52.906913,32.404258,4.908673,0.227000
21.843350,18.307574,16.186943,-53.187790,31.975630,5.635071,0.228000
21.784385,19.531022,16.320135,-53.420328,31.476031,6.388518,0.229000
21.776513,20.774646,16.480774,-53.609144,30.893016,7.186053,0.230000
21.818782,22.040225,16.668935,-53.758086,30.209404,8.048712,0.231000
21.910347,23.329506,16.884927,-53.870344,29.400292,9.004640,0.232000
22.050471,24.644195,17.129282,-53.948545,28.426946,10.095284,0.233000
22.238517,25.985951,17.402751,-53.994832,27.222249,11.390023,0.234000
22.473946,27.356368,17.706298,-54.010922,25.646313,13.030617,0.235000
22.756316,28.756974,18.041098,-53.998153,23.259503,15.458226,0.236000
23.085271,30.189210,18.408533,-53.957531,19.367948,19.367948,0.237000
23.460544,31.654421,18.810191,-53.889759,19.366195,19.366195,0.238000
23.881947,33.153843,19.247867,-53.795267,19.353963,19.353963,0.239000
24.349367,34.688582,19.723560,-53.674234,19.331502,19.331502,0.240000
24.862763,36.259598,20.239473,-53.526612,19.298964,19.298964,0.241000
25.422159,37.867686,20.798018,-53.352139,19.256411,19.256411,0.242000
26.027636,39.513450,21.401809,-53.150356,19.203823,19.203823,0.243000
26.679330,41.197278,22.053665,-52.920620,19.141103,19.141103,0.244000
27.377420,42.919318,22.756608,-52.662117,19.068087,19.068087,0.245000
28.122125,44.679441,23.513858,-52.373874,18.984546,18.984546,0.246000
28.913695,46.477209,24.328832,-52.054768,18.890191,18.890191,0.247000
29.752399,48.311840,25.205133,-51.703542,18.784682,18.784682,0.248000
30.638517,50.182161,26.146542,-51.318815,18.667631,18.667631,0.249000
31.572332,52.086569,27.157007,-50.899099,18.538610,18.538610,0.250000
32.554114,54.022980,28.240620,-50.442813,18.397156,18.397156,0.251000
33.584110,55.988778,29.401600,-49.948305,18.242780,18.242780,0.252000
34.662526,57.980759,30.644264,-49.413870,18.074976,18.074976,0.253000
35.789515,59.995074,31.972990,-48.837778,17.893228,17.893228,0.254000
36.965159,62.027171,33.392175,-48.218305,17.697026,17.697026,0.255000
38.189447,64.071726,34.906189,-47.553759,17.485875,17.485875,0.256000
39.462255,66.122587,36.519309,-46.842525,17.259307,17.259307,0.257000
40.783325,68.172704,38.235648,-46.083100,17.016902,17.016902,0.258000
42.152236,70.214073,40.059075,-45.274138,16.758295,16.758295,0.259000
43.568380,72.237672,41.993118,-44.414495,16.483197,16.483197,0.260000
45.030927,74.233411,44.040852,-43.503272,16.191404,16.191404,0.261000
46.538797,76.190085,46.204775,-42.539860,15.882812,15.882812,0.262000
48.090623,78.095341,48.486672,-41.523976,15.557422,15.557422,0.263000
49.684714,79.935655,50.887458,-40.455688,15.215341,15.215341,0.264000
51.319014,81.696336,53.407012,-39.335437,14.856780,14.856780,0.265000
52.991062,83.361541,56.043997,-38.164041,14.482040,14.482040,0.266000
54.697949,84.914329,58.795663,-36.942677,14.091491,14.091491,0.267000
56.436272,86.336738,61.657654,-35.672864,13.685544,13.685544,0.268000
58.202092,87.609910,64.623799,-34.356414,13.264611,13.264611,0.269000
59.990886,88.714249,67.685912,-32.995389,12.829068,12.829068,0.270000
61.797510,89.629631,70.833598,-31.592046,12.379211,12.379211,0.271000
63.616154,90.335669,74.054078,-30.148779,11.915216,11.915216,0.272000
65.440314,90.812028,77.332036,-28.668082,11.437104,11.437104,0.273000
67.262760,91.038793,80.649510,-27.152514,10.944717,10.944717,0.274000
69.075520,90.996898,83.985831,-25.604681,10.437707,10.437707,0.275000
70.869875,90.668604,87.317624,-24.027240,9.915530,9.915530,0.276000
72.636363,90.038014,90.618890,-22.422918,9.377471,9.377471,0.277000
74.364811,89.091628,93.861175,-20.794540,8.822664,8.822664,0.278000
76.044378,87.818912,97.013843,-19.145063,8.250139,8.250139,0.279000
77.663622,86.212862,100.044456,-17.477627,7.658870,7.658870,0.280000
79.210602,84.270549,102.919273,-15.795583,7.047833,7.047833,0.281000
80.672994,81.993605,105.603857,-14.102530,6.416073,6.416073,0.282000
82.038244,79.388629,108.063793,-12.402326,5.762766,5.762766,0.283000
83.293748,76.467485,110.265499,-10.699100,5.087290,5.087290,0.284000
84.427054,73.247461,112.177099,-8.997234,4.389285,4.389285,0.285000
85.426092,69.751255,113.769348,-7.301331,3.668713,3.668713,0.286000
86.279419,66.006789,115.016541,-5.616174,2.925910,2.925910,0.287000
86.976472,62.046821,115.897399,-3.946659,2.161621,2.161621,0.288000
87.507831,57.908363,116.395853,-2.297723,1.377029,1.377029,0.289000
87.865468,53.631923,116.501703,-0.674265,0.573769,0.573769,0.290000
87.950096,49.250313,116.018418,0.903792,-0.253923,-0.253923,0.291000
87.849230,44.863191,115.153889,2.435826,-1.089102,-1.089102,0.292000
87.655478,40.480437,114.102147,3.944392,-1.927524,-1.927524,0.293000
87.275952,36.135469,112.686557,5.410515,-2.773833,-2.773833,0.294000
86.712283,31.870095,110.928665,6.830794,-3.624604,-3.624604,0.295000
85.968215,27.723311,108.855304,8.202322,-4.476237,-4.476237,0.296000
85.049545,23.730419,106.497772,9.522732,-5.325044,-5.325044,0.297000
83.963993,19.922314,103.890889,10.790217,-6.167338,-6.167338,0.298000
82.721030,16.324965,101.071957,12.003548,-6.999517,-6.999517,0.299000
81.331655,12.959096,98.079694,13.162060,-7.818154,-7.818154,0.300000
79.808137,9.840083,94.953191,14.265639,-8.620064,-8.620064,0.301000
78.163742,6.978036,91.730927,15.314690,-9.402371,-9.402371,0.302000
76.412437,4.378054,88.449905,16.310094,-10.162555,-10.162555,0.303000
74.568603,2.040623,85.144905,17.253157,-10.898486,-10.898486,0.304000
72.646759,-0.037885,81.847905,18.145559,-11.608447,-11.608447,0.305000
70.661303,-1.864637,78.587650,18.989287,-12.291131,-12.291131,0.306000
68.626282,-3.449731,75.389380,-12.945638,-12.945638,19.786577,0.307000
66.555196,-4.805585,72.274701,-13.571448,-13.571448,20.539849,0.308000
64.460834,-5.946341,69.261589,-14.168396,-14.168396,21.251647,0.309000
62.355148,-6.887315,66.364490,-14.736629,-14.736629,21.924576,0.310000
60.249164,-7.644501,63.594522,-15.276562,-15.276562,22.561247,0.311000
58.152918,-8.234136,60.959724,-15.788833,-15.788833,23.164221,0.312000
56.075432,-8.672338,58.465354,-16.274252,-16.274252,23.735962,0.313000
54.024705,-8.974812,56.114215,-16.733760,-16.733760,24.278794,0.314000
52.007736,-9.156613,53.906979,-17.168375,-17.168375,24.794866,0.315000
50.030556,-9.231982,51.842517,-17.579159,-17.579159,25.286120,0.316000
48.098277,-9.214221,49.918204,-17.967179,-17.967179,25.754271,0.317000
46.215150,-9.115625,48.130214,-18.333481,-18.333481,26.200796,0.318000
44.384631,-8.947445,46.473775,-18.679063,-18.679063,26.626931,0.319000
42.609450,-8.719885,44.943412,-19.004865,-19.004865,27.033677,0.320000
40.891677,-8.442121,43.533146,-19.311757,-19.311757,27.421816,0.321000
39.232795,-8.122342,42.236672,-19.600536,-19.600536,27.791939,0.322000
37.633766,-7.767800,41.047509,-19.871933,-19.871933,28.144468,0.323000
36.095095,-7.384870,39.959122,-20.126619,-20.126619,28.479697,0.324000
34.616889,-6.979117,38.965025,-20.365211,-20.365211,28.797826,0.325000
33.198916,-6.555363,38.058857,-20.588289,-20.588289,29.098995,0.326000
31.840653,-6.117753,37.234448,-20.796404,-20.796404,29.383320,0.327000
30.541335,-5.669823,36.485861,-20.990089,-20.990089,29.650917,0.328000
29.299993,-5.214565,35.807430,-21.169869,-21.169869,29.901927,0.329000
28.115500,-4.754481,35.193779,-21.336265,-21.336265,30.136534,0.330000
26.986593,-4.291645,34.639837,-21.489799,-21.489799,30.354972,0.331000
25.911912,-3.827750,34.140841,-21.630997,-21.630997,30.557528,0.332000
